Influencer ID,Category,Tiktok Category,Average Views,Likes,Comments Counts,Shares,Region,Follower Counts,Score
3d_heroes,Art,Art|Technology,29721,3235.10714286,34.8928571429,27.5,US,77654,0.110948487601
ama.beee,Art,Tutorials|Art|Vlog,24745,3113.67857143,115.607142857,14.7142857143,US,198485,0.131097191352
artbynikkigee,Art,Art,20156,2472.0,45.3928571429,9.96428571429,US,228916,0.125389816574
avanoellemosley,Art,Interviews|Art,105433,23490.6071429,144.071428571,130.75,US,255410,0.225407875821
blakeobk,Art,Education|Art|Animation_Cartoon,122143,25502.6071429,124.321428571,73.7857142857,US,189902,0.210414958579
bluecrush27,Art,Art|DIY_Life_Hacks|Outfit,18843,3196.78571429,19.9285714286,12.6428571429,US,424297,0.171382324622
brainwavebtch,Art,Technology|Art,6192,929.92,19.88,12.92,US,307189,0.155478036176
chayeimodel,Art,Makeup|Art,29304,5610.5,28.6785714286,15.25,US,260255,0.192957567958
craftymoms,Art,Family_Parenting|Vlog|Art,1114670,52076.3571429,189.714285714,1040.78571429,US,2661922,0.0478229943776
damian.dittmer,Art,Pop Culture|Art,207030,30445.2592593,699.740740741,135.740740741,US,324998,0.151092792063
emmy_ga,Art,Art,164314,44545.25,337.857142857,430.571428571,US,199967,0.275774910059
fidget_.daqueen,Art,Art,12281,1658.82142857,368.607142857,11.5714285714,US,142081,0.166028825014
gagekrew,Art,Art,232925,11752.1785714,70.25,87.0,US,425947,0.0511298854628
haley.likes.drawing,Art,Art,1110672,175729.535714,1576.96428571,479.678571429,US,378564,0.160070820703
jaealise,Art,Makeup|Art,11438,1808.64285714,37.6071428571,25.8928571429,US,200632,0.16367746609
jeff_sorensen_glass,Art,Art|Vlog|Professional Life,109372,3201.71428571,50.6785714286,13.0714285714,US,307654,0.0298564923903
jeffcopelandart,Art,Art|Outfit,117361,4472.14285714,322.928571429,61.1428571429,US,1072522,0.0413784330886
kadeanselart,Art,Art|Vlog,18283,5476.03571429,131.142857143,111.928571429,US,130573,0.312810104625
kianasj,Art,Professional Life|Art,2589,530.357142857,6.85714285714,2.92857142857,US,122059,0.208629917784
kyralove14,Art,Vlog|Art,130586,3896.4375,36.625,12.375,US,160586,0.0302133268497
littlefeltedfriends,Art,DIY_Life_Hacks|Art|Pets,20389,2038.35714286,90.5714285714,23.5357142857,US,282735,0.105569880117
magpiejay,Art,Art,3239,574.428571429,11.5357142857,4.32142857143,US,360525,0.182243196754
makeshift_chronicles,Art,Tutorials|Art,16953,3029.82142857,42.9285714286,119.714285714,US,192814,0.188312645887
misssie,Art,Art,17368,2942.03571429,22.3928571429,34.1071428571,US,423367,0.172647150753
mysweetadeline,Art,Other Performance|Makeup|Art,679394,54741.4814815,223.518518519,41.3333333333,US,831556,0.0809638197178
pandoramonrose,Art,Dance|Art,37567,3901.0,75.9642857143,22.0714285714,US,290454,0.106450760356
rachelkuperman,Art,Pop Culture|Art|Pets,368324,48042.4285714,770.857142857,154.0,US,527180,0.132946225916
rebelrebel911,Art,Art|Vlog,4811,1157.75,29.1428571429,12.3571428571,US,354505,0.24927250052
savannalore,Art,Vlog|Education|Art,39668,7745.46428571,43.0714285714,139.035714286,US,238001,0.199848024316
shreddedmilitary,Art,Transition|Art,193729,11046.9285714,76.0,60.1785714286,US,1370186,0.0577255193743
shreksdumpster,Art,Comedy|Art|Shoes,362112,97903.0,557.357142857,713.571428571,US,2508837,0.273876393413
smiztok,Art,Art|Animation_Cartoon,40515,11018.25,268.571428571,102.25,US,190126,0.281107526313
soyluzzo,Art,Art,6128,971.571428571,24.0,11.6071428571,US,137584,0.164356816486
stickyartchan,Art,Dance|Art,1022,101.615384615,8.80769230769,1.07692307692,US,248998,0.109099804305
sugar.columbia,Art,Food Art_Discovery|Art,274667,7430.75,18.1428571429,27.9285714286,US,250014,0.0272214042043
tattooobabyyy,Art,Art,25165,5258.60714286,89.0,43.7142857143,US,120209,0.214238880531
theendoftheinternet,Art,Hair|Art,76939,3268.11111111,81.8148148148,15.5555555556,US,142429,0.0437422046229
tiannalasagna,Art,Art,1079066,137284.076923,1728.11538462,2347.53846154,US,143416,0.131001932013
trav_carves,Art,Art|Vlog,71132,8996.35714286,305.392857143,183.035714286,US,414953,0.133340630297
will.snell.683,Art,Art,12444,2916.14285714,50.3928571429,83.1428571429,US,400534,0.245072209212
